"No.","Time","Source","Destination","Protocol","Length","Info"
"1008","40.138877","192.168.1.12","8.8.4.4","UDP","1292","60782  >  443 Len=1250"
"1009","40.150530","192.168.1.12","8.8.4.4","QUIC","79","Protected Payload (KP0), DCID=ec8129956d7188e8"
"1010","40.150677","192.168.1.12","163.70.145.60","TCP","127","19948  >  5222 [PSH, ACK] Seq=38008 Ack=83921 Win=510 Len=73 [TCP PDU reassembled in 1328]"
"1011","40.201774","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=9c7b3364a63867f0, PKN: 11, PING, PING, PING, PING, CRYPTO, CRYPTO"
"1012","40.205517","40.79.167.8","192.168.1.12","TCP","60","443  >  20086 [ACK] Seq=379 Ack=2819 Win=16381 Len=0"
"1013","40.218332","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=83921 Ack=38008 Win=5544 Len=0"
"1014","40.218450","142.251.43.99","192.168.1.12","QUIC","82","Initial, SCID=fc7b3364a63867f0, PKN: 1, ACK"
"1015","40.218450","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 2, ACK, PADDING"
"1016","40.231328","8.8.4.4","192.168.1.12","QUIC","70","Protected Payload (KP0)"
"1017","40.231328","8.8.4.4","192.168.1.12","QUIC","67","Protected Payload (KP0)"
"1018","40.231328","8.8.4.4","192.168.1.12","QUIC","72","Protected Payload (KP0)"
"1019","40.231328","8.8.4.4","192.168.1.12","QUIC","72","Protected Payload (KP0)"
"1020","40.231328","8.8.4.4","192.168.1.12","QUIC","67","Protected Payload (KP0)"
"1021","40.231328","8.8.4.4","192.168.1.12","UDP","1292","443  >  60782 Len=1250"
"1022","40.231487","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 3, ACK, PADDING"
"1023","40.231487","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 4, ACK, PADDING"
"1024","40.231527","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 5, ACK, PADDING"
"1025","40.231622","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 6, ACK, PADDING"
"1026","40.231986","192.168.1.12","8.8.4.4","QUIC","91","Protected Payload (KP0), DCID=ec8129956d7188e8"
"1027","40.260157","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=83921 Ack=38081 Win=5544 Len=0"
"1028","40.260313","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 7, ACK, PADDING"
"1029","40.273061","8.8.4.4","192.168.1.12","QUIC","65","Protected Payload (KP0)"
"1030","40.337403","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 8, CRYPTO, PADDING"
"1031","40.342691","192.168.1.12","142.251.43.99","QUIC","1292","Initial, DCID=fc7b3364a63867f0, PKN: 12, ACK, PADDING"
"1032","40.350212","142.251.43.99","192.168.1.12","QUIC","338","Protected Payload (KP0)"
"1033","40.350212","142.251.43.99","192.168.1.12","QUIC","67","Protected Payload (KP0)"
"1034","40.350212","142.251.43.99","192.168.1.12","QUIC","986","Protected Payload (KP0)"
"1035","40.350212","142.251.43.99","192.168.1.12","QUIC","64","Protected Payload (KP0)"
"1036","40.350735","192.168.1.12","142.251.43.99","QUIC","120","Handshake, DCID=fc7b3364a63867f0"
"1037","40.350833","192.168.1.12","142.251.43.99","QUIC","73","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1038","40.366210","142.251.43.99","192.168.1.12","QUIC","1292","Initial, SCID=fc7b3364a63867f0, PKN: 15, CRYPTO, PADDING"
